Sell,duck3,Rose,3,21,12,2019,Generated Sell Transaction
Buy,Daisy,Rose,3,21,12,2019,Generated Buy Transaction
Sell,duck1,b,12,15,12,2018,Generated Sell Transaction
Buy,Daisy,b,12,15,12,2018,Generated Buy Transaction
Sell,duck3,Rose,8,26,2,2018,Generated Sell Transaction
Buy,Daisy,Rose,8,26,2,2018,Generated Buy Transaction
Sell,duck1,b,8,16,11,2019,Generated Sell Transaction
Buy,Daisy,b,8,16,11,2019,Generated Buy Transaction
Sell,Donadl,b,16,5,5,2018,Generated Sell Transaction
Buy,Daisy,b,16,5,5,2018,Generated Buy Transaction
Sell,Donadl,Tulip,15,13,6,2020,Generated Sell Transaction
Buy,Daisy,Tulip,15,13,6,2020,Generated Buy Transaction
Sell,somedog,b,7,15,11,2018,Generated Sell Transaction
Buy,Daisy,b,7,15,11,2018,Generated Buy Transaction
Sell,Donadl,b,13,18,4,2018,Generated Sell Transaction
Buy,Daisy,b,13,18,4,2018,Generated Buy Transaction
Sell,duck1,b,6,16,12,2018,Generated Sell Transaction
Buy,Daisy,b,6,16,12,2018,Generated Buy Transaction
Sell,Donadl,Rose,0,16,12,2020,Generated Sell Transaction
Buy,Daisy,Rose,0,16,12,2020,Generated Buy Transaction
Sell,duck3,Rose,18,1,1,2019,Generated Sell Transaction
Buy,Daisy,Rose,18,1,1,2019,Generated Buy Transaction
Sell,Donadl,Tulip,10,25,4,2019,Generated Sell Transaction
Buy,Daisy,Tulip,10,25,4,2019,Generated Buy Transaction
Sell,duck3,b,17,25,2,2020,Generated Sell Transaction
Buy,Daisy,b,17,25,2,2020,Generated Buy Transaction
Sell,duck3,Rose,12,1,4,2019,Generated Sell Transaction
Buy,Daisy,Rose,12,1,4,2019,Generated Buy Transaction
Sell,Donadl,Tulip,9,2,3,2020,Generated Sell Transaction
Buy,Daisy,Tulip,9,2,3,2020,Generated Buy Transaction
Sell,duck1,Rose,15,17,10,2018,Generated Sell Transaction
Buy,Daisy,Rose,15,17,10,2018,Generated Buy Transaction
Sell,Donadl,Rose,3,24,9,2018,Generated Sell Transaction
Buy,Daisy,Rose,3,24,9,2018,Generated Buy Transaction
Sell,duck1,b,5,9,12,2018,Generated Sell Transaction
Buy,Daisy,b,5,9,12,2018,Generated Buy Transaction
Sell,duck3,Rose,14,14,9,2018,Generated Sell Transaction
Buy,Daisy,Rose,14,14,9,2018,Generated Buy Transaction
Sell,duck1,Tulip,2,1,5,2018,Generated Sell Transaction
Buy,Daisy,Tulip,2,1,5,2018,Generated Buy Transaction
Sell,duck1,Rose,3,13,1,2018,Generated Sell Transaction
Buy,Daisy,Rose,3,13,1,2018,Generated Buy Transaction
Sell,Donadl,Tulip,0,28,6,2018,Generated Sell Transaction
Buy,Daisy,Tulip,0,28,6,2018,Generated Buy Transaction
Sell,somedog,Rose,15,8,8,2018,Generated Sell Transaction
Buy,Daisy,Rose,15,8,8,2018,Generated Buy Transaction
Sell,somedog,Tulip,6,2,7,2019,Generated Sell Transaction
Buy,Daisy,Tulip,6,2,7,2019,Generated Buy Transaction
Sell,duck1,Tulip,17,22,8,2020,Generated Sell Transaction
Buy,Daisy,Tulip,17,22,8,2020,Generated Buy Transaction
Sell,duck1,Tulip,10,22,7,2020,Generated Sell Transaction
Buy,Daisy,Tulip,10,22,7,2020,Generated Buy Transaction
